IdSucursal,IdComercio,IdBandera,banderaDescripcion,comercioRazonSocial,provincia,localidad,dirección,lat,lng,sucursalNombre,sucursalTipo
10-3-493,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Charcas 3940",-34.58662600,-58.41937500,"Charcas 3940","Autoservicio"
10-3-494,10,3,Express,"INC S.A.",AR-B,"Grand Bourg","Fco. Seguí 1519",-34.48522100,-58.72652100,"Fco. Seguí 1519","Autoservicio"
10-3-495,10,3,Express,"INC S.A.",AR-B,Berazategui,"Avenida 14 5072",-34.76026400,-58.20663100,"Avenida 14 5072","Autoservicio"
10-3-496,10,3,Express,"INC S.A.",AR-B,Ezeiza,"José Hernández 130",-34.78854100,-58.52247300,"J. Hernandez 130","Autoservicio"
10-3-497,10,3,Express,"INC S.A.",AR-B,Merlo,"Av. Juan Domingo Perón 25694",-34.66527300,-58.72811300,"Perón 25694","Autoservicio"
10-3-498,10,3,Express,"INC S.A.",AR-B,"Gregorio de Laferrere","Luro 6329",-34.75165400,-58.58343900,"Luro 6329","Autoservicio"
10-3-499,10,3,Express,"INC S.A.",AR-B,"La Matanza","Av. Cristianía 1832",-34.69753100,-58.60125900,"Av. Cristianía 1832","Autoservicio"
10-3-521,10,3,Express,"INC S.A.",AR-B,"3 de Febrero","Av. Urquiza 4855",-34.60563300,-58.56488200,"Av. Urquiza 4855","Autoservicio"
10-3-522,10,3,Express,"INC S.A.",AR-B,"La Matanza","Arieta 2850",-34.67621700,-58.56354700,"Arieta 2850","Autoservicio"
10-3-524,10,3,Express,"INC S.A.",AR-B,"General Rodríguez","Bernardo De Irigoyen 746",-34.60819000,-58.95357000,"Bernardo Irigoyen 746","Autoservicio"
10-3-525,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Crisólogo Larralde 3721",-34.55547100,-58.47999400,"Crisólogo Larralde 3721","Autoservicio"
10-3-526,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","H. Pueyrredón 925",-34.60956600,-58.44374600,"H. Pueyrredon 925","Autoservicio"
10-3-527,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Fray Justo Sta. María De Oro 2121",-34.58317100,-58.42761200,"Oro 2121","Autoservicio"
10-3-528,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Aguirre 236",-34.59981100,-58.43380100,"Aguirre 236","Autoservicio"
10-3-529,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Viamonte 2296",-34.60117200,-58.39976800,"Viamonte 2296","Autoservicio"
10-3-530,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 6074",-34.62468700,-58.45124800,"Rivadavia 6074","Autoservicio"
10-3-531,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Arévalo 1736",-34.58062400,-58.44015000,"Arévalo 1736","Autoservicio"
10-3-532,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Cabildo 3722",-34.54884900,-58.46856100,"Cabildo 3722","Autoservicio"
10-3-533,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Rosario 85",-34.61832700,-58.42969500,"Rosario 85","Autoservicio"
10-3-534,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Martiniano Leguizamón 1576",-34.65323200,-58.50725700,"Leguizamon 1576","Autoservicio"
10-3-535,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Murguiondo 4324",-34.67798400,-58.47426200,"Murguiondo 4324","Autoservicio"
10-3-536,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Ricardo Balbín 4189",-34.55498700,-58.49086500,"Ricardo Balbín 4189","Autoservicio"
10-3-537,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Charcas 4389",-34.58310900,-58.42366700,"Charcas 4389","Autoservicio"
10-3-538,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Hipólito Yrigoyen 3254",-34.61236400,-58.41262500,"Hipólito Irigoyen 3254","Autoservicio"
10-3-539,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Donato Álvarez 837",-34.61632000,-58.45818500,"Donato Álvarez 837","Autoservicio"
10-3-540,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Leandro N. Alem 432",-34.60257000,-58.37046600,"Leandro Alem 432","Autoservicio"
10-3-541,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Maipú 918",-34.59728000,-58.37697500,"Maipú 918","Autoservicio"
10-3-542,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Segurola 279",-34.63145100,-58.48533600,"Segurola 279","Autoservicio"
10-3-543,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Olazábal 5179",-34.57680300,-58.48659800,"Olazábal 5179","Autoservicio"
10-3-544,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juana Manso 550",-34.60344100,-58.36327400,"Juana Manso 550","Autoservicio"
10-3-545,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Libertad 1043",-34.59628800,-58.38417800,"Libertad 1043","Autoservicio"
10-3-546,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Moreno 1902",-34.61287900,-58.39329300,"Moreno 1902","Autoservicio"
10-3-547,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Dorrego 851",-34.59142000,-58.44692100,"Dorrego 851","Autoservicio"
10-3-548,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Congreso 5241",-34.57061800,-58.49189700,"Congreso 5241","Autoservicio"
10-3-549,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Suipacha 366",-34.60419800,-58.37950900,"Suipacha 366","Autoservicio"
10-3-550,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sarmiento 3885",-34.60506900,-58.41924200,"Sarmiento 3885","Autoservicio"
10-3-551,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Monroe 3576",-34.56508000,-58.47070400,"Monroe 3576","Autoservicio"
10-3-552,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 3751",-34.61095400,-58.41910200,"Rivadavia 3751","Autoservicio"
10-3-553,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Cuzco 135",-34.63802300,-58.52760600,"Cuzco 135","Autoservicio"
10-3-554,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Chilavert 6280",-34.68511900,-58.47457600,"Chilavert 6280","Autoservicio"
10-3-555,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Güemes 4159",-34.58480400,-58.41901900,"Güemes 4159","Autoservicio"
10-3-556,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Grecia 3595",-34.54630600,-58.46316200,"Grecia 3595","Autoservicio"
10-3-557,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Arzobispo Espinosa 1187",-34.63350000,-58.37010400,"Arzobispo Espinosa 1187","Autoservicio"
10-3-558,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sarmiento 345",-34.60416700,-58.37147800,"Sarmiento 345","Autoservicio"
10-3-559,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Teodoro García 2310",-34.56829500,-58.44445700,"Teodoro García 2310","Autoservicio"
10-3-560,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Bartolomé Mitre 1751",-34.60788700,-58.39136100,"B. Mitre 1751","Autoservicio"
10-3-561,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Ángel Gallardo 940",-34.60696400,-58.44377300,"Ángel Gallardo 940","Autoservicio"
10-3-562,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","San Martín 620",-34.60081400,-58.37410700,"San Martín 620","Autoservicio"
10-3-563,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Hidalgo 955",-34.60819900,-58.44152100,"Hidalgo 955","Autoservicio"
10-3-565,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Ecuador 932",-34.59928100,-58.40619500,"Ecuador 932","Autoservicio"
10-3-566,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Álvarez Thomas 1996",-34.57874300,-58.46927400,"Álvarez Thomas 1996","Autoservicio"
10-3-568,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Olazábal 1898",-34.55744200,-58.45350400,"Olazábal 1898","Autoservicio"
10-3-569,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Del Libertador 1140",-34.58572700,-58.38805500,"Del Libertador 1140","Autoservicio"
10-3-570,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Defensa 1400",-34.62409800,-58.37115300,"Defensa 1400","Autoservicio"
10-3-571,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Tacuarí 89",-34.60930500,-58.37924300,"Tacuarí 89","Autoservicio"
10-3-572,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Centenera 1282",-34.63433300,-58.43579700,"Centenera 1282","Autoservicio"
10-3-573,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Córdoba 3721",-34.59757900,-58.41923500,"Córdoba 3721","Autoservicio"
10-3-574,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","García Del Río 3166",-34.55018700,-58.47660000,"García del Río 3166","Autoservicio"
10-3-575,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Directorio 483",-34.62791400,-58.43336500,"Directorio 483","Autoservicio"
10-3-576,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Núñez 1563",-34.54563900,-58.45956900,"Núñez 1563","Autoservicio"
10-3-577,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Córdoba 2038",-34.59986900,-58.39627500,"Av. Córdoba 2038","Autoservicio"
10-3-578,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Callao 678",-34.60115900,-58.39304100,"Callao 678","Autoservicio"
10-3-579,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Almirante Brown 795",-34.63199800,-58.36130000,"Av. Alte. Brown 795","Autoservicio"
10-3-580,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Corrientes 4147",-34.60292800,-58.42304400,"Av. Corrientes 4147","Autoservicio"
10-3-581,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juan María Gutiérrez 3759",-34.58077900,-58.41329200,"J. M. Gutiérrez 3759","Autoservicio"
10-3-582,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Congreso 4781",-34.56758800,-58.48643600,"Congreso 4781","Autoservicio"
10-3-583,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. De Mayo 1241",-34.60924100,-58.38404500,"Av. de Mayo 1241","Autoservicio"
10-3-584,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Urquiza 648",-34.61800400,-58.40920700,"Urquiza 648","Autoservicio"
10-3-585,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Lima 945",-34.61905600,-58.38149800,"Lima 945","Autoservicio"
10-3-586,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. San Martín 5930",-34.59579000,-58.50005900,"San Martín 5930","Autoservicio"
10-3-587,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Rojas 16",-34.62021500,-58.44163100,"Rojas 16","Autoservicio"
10-3-588,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. San Martín 4685",-34.59749700,-58.48457500,"Av. San Martín 4685","Autoservicio"
10-3-589,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Perú 487",-34.61362500,-58.37470200,"Perú 487","Autoservicio"
10-3-590,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Peña 2544",-34.58880300,-58.40057500,"Peña 2544","Autoservicio"
10-3-591,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Tte. Gral. J. D. Perón 4177",-34.60587800,-58.42565100,"Tte. Gral. J. D. Perón 4177","Autoservicio"
10-3-592,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Echeverría 1420",-34.55705700,-58.44584200,"Echeverría 1420","Autoservicio"
10-3-593,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Entre Ríos 1192",-34.62260300,-58.39134100,"Entre Ríos 1192","Autoservicio"
10-3-594,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Inclan 2502",-34.62984400,-58.39965400,"Inclan 2502","Autoservicio"
10-3-595,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Cosquín 78",-34.63989900,-58.52358500,"Cosquín 78-80","Autoservicio"
10-3-596,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Federico Lacroze 3660",-34.58229800,-58.45184000,"Lacroze 3660","Autoservicio"
10-3-597,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sanabria 2733",-34.61106900,-58.50632600,"Sanabria 2733","Autoservicio"
10-3-598,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sarmiento 1810",-34.60572100,-58.39270300,"Sarmiento 1810","Autoservicio"
10-3-599,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Blanco Encalada 4470",-34.57179500,-58.47995000,"Blanco Encalada 4470","Autoservicio"
10-3-600,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Directorio 3960",-34.64094100,-58.47916600,"Directorio 3960","Autoservicio"
10-3-602,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 8688",-34.63505400,-58.48629400,"Rivadavia 8688-90","Autoservicio"
10-3-604,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Estado De Israel 4684",-34.60061400,-58.43080000,"Av. Estado de Israel 4684","Autoservicio"
10-3-605,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Juan Bautista Alberdi 7071",-34.65922800,-58.51296200,"Juan B. Alberdi 7071","Autoservicio"
10-3-606,10,3,Express,"INC S.A.",AR-X,Córdoba,"Ovispo Trejo 1166",-31.42895900,-64.19116000,"Ovispo Trejo 1166","Autoservicio"
10-3-607,10,3,Express,"INC S.A.",AR-X,Córdoba,"Chacabuco 727",-31.42612700,-64.18358100,"Chacabuco 727","Autoservicio"
10-3-608,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Serrano 280",-34.59818500,-58.44498300,"Serrano 280","Autoservicio"
10-3-609,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Del Libertador 4534",-34.56653800,-58.43194400,"Av. del Libertador 4534","Autoservicio"
10-3-610,10,3,Express,"INC S.A.",AR-X,Córdoba,"Av. Pueyrredón 298",-31.42597800,-64.19276100,"Pueyrredón 298","Autoservicio"
10-3-613,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Congreso 2774",-34.55729200,-58.46585100,"Av. Congreso 2774","Autoservicio"
10-3-614,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Murguiondo 4054",-34.67597700,-58.47704900,"Murguiondo 4054","Autoservicio"
10-3-615,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 4702",-34.61626700,-58.43183900,"Rivadavia 4702","Autoservicio"
10-3-616,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Río De Janeiro 71",-34.61435700,-58.42997000,"Río de Janeiro 71","Autoservicio"
10-3-617,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Monroe 3131",-34.56232500,-58.46694900,"Monroe 3131","Autoservicio"
10-3-618,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Bulnes 2751",-34.58052600,-58.40589400,"Bulnes 2751","Autoservicio"
10-3-619,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Ramos Mejía 1019",-34.60384800,-58.43341200,"Ramos Mejía 1019","Autoservicio"
10-3-620,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Marcelo T. De Alvear 1626",-34.59720600,-58.39021100,"Marcelo T. de Alvear 1626","Autoservicio"
10-3-621,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Avellaneda 1034",-34.61721600,-58.44524000,"Avellaneda 1034","Autoservicio"
10-3-622,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Boyacá 1082",-34.61607400,-58.46428600,"Boyacá 1082","Autoservicio"
10-3-623,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 2520",-34.61001900,-58.40245600,"Av. Rivadavia 2520","Autoservicio"
10-3-624,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Nazca 3214",-34.59892800,-58.49182600,"Nazca 3214","Autoservicio"
10-3-625,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Montiel 1061",-34.65091700,-58.52574000,"Montiel 1061","Autoservicio"
10-3-626,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Ramón Falcón 5547",-34.63902200,-58.50495700,"Ramon Falcón 5547","Autoservicio"
10-3-627,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Paseo Colón 1179",-34.62133300,-58.36847800,"Paseo Colón 1179","Autoservicio"
10-3-628,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 4119",-34.61264500,-58.42395700,"Rivadavia 4119","Autoservicio"
10-3-630,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Aráoz 2148",-34.58820900,-58.41905200,"Aráoz 2148","Autoservicio"
10-3-631,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Lavalle 368",-34.60198700,-58.37194900,"Lavalle 368","Autoservicio"
10-3-632,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Amenábar 2710",-34.55791300,-58.46320200,"Amenábar 2710","Autoservicio"
10-3-633,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Bolívar 270",-34.61121900,-58.37334000,"Bolívar 270","Autoservicio"
10-3-634,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Moreno 1401",-34.61223900,-58.38622300,"Moreno 1401","Autoservicio"
10-3-635,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Viamonte 1380",-34.60058400,-58.38639700,"Viamonte 1380","Autoservicio"
10-3-636,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Ayacucho 1401",-34.59270100,-58.39483100,"Ayacucho 1401","Autoservicio"
10-3-638,10,3,Express,"INC S.A.",AR-B,Derqui,"Av. De Mayo 432",-34.49070900,-58.84313700,"Av. de Mayo 432","Autoservicio"
10-3-639,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Pedro Goyena 188",-34.62547000,-58.42993000,"Pedro Goyena 188","Autoservicio"
10-3-640,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Boulogne Sur Mer 431",-34.60498000,-58.40674400,"Boulogne Sur Mer 431","Autoservicio"
10-3-641,10,3,Express,"INC S.A.",AR-X,Córdoba,"Alvear 126",-31.41538200,-64.18051400,"Alvear 126","Autoservicio"
10-3-642,10,3,Express,"INC S.A.",AR-X,Córdoba,"Gral. Paz 240",-31.41248500,-64.18527800,"General Paz 240","Autoservicio"
10-3-643,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Segurola 1441",-34.62272300,-58.49640000,"Segurola 1441","Autoservicio"
10-3-644,10,3,Express,"INC S.A.",AR-X,Córdoba,"25 De Mayo 979",-31.41576900,-64.16950500,"25 de Mayo 979","Autoservicio"
10-3-645,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Luis María Drago 285",-34.60151000,-58.43708500,"Luis M Drago 285","Autoservicio"
10-3-646,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Bauness 2692",-34.57284100,-58.48951100,"Baunes 2692","Autoservicio"
10-3-648,10,3,Express,"INC S.A.",AR-X,Córdoba,"Belgrano 54",-31.41536300,-64.18853000,"Belgrano 54","Autoservicio"
10-3-649,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Emilio Castro 6817",-34.65197800,-58.51585400,"Emilio Castro 6817","Autoservicio"
10-3-650,10,3,Express,"INC S.A.",AR-X,Córdoba,"San Martín 26",-31.42053000,-64.49909900,"San Martín 26","Autoservicio"
10-3-652,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Gral. Las Heras 2986",-34.58354000,-58.40381200,"Las Heras 2986","Autoservicio"
10-3-654,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Hipólito Yrigoyen 1790",-34.61035800,-58.39153200,"Hipolito Irigoyen 1790","Autoservicio"
10-3-655,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sarmiento 774",-34.60477400,-58.37767200,"Sarmiento 774","Autoservicio"
10-3-656,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Viamonte 170",-34.59950900,-58.36990600,"Viamonte 170","Autoservicio"
10-3-657,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Montiel 1718",-34.65711400,-58.51818000,"Montiel 1718","Autoservicio"
10-3-658,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Larrazábal 265",-34.64198200,-58.51426600,"Larrazábal 265","Autoservicio"
10-3-659,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Conesa 999",-34.57310200,-58.45128100,"Conesa 999","Autoservicio"
10-3-660,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juan Seguí 4524",-34.57405500,-58.42047500,"Juan Seguí 4524","Autoservicio"
10-3-661,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Aráoz 1140",-34.59450400,-58.42873700,"Aráoz 1140","Autoservicio"
10-3-662,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Belgrano 3043",-34.61503200,-58.40905700,"Av. Belgrano 3043","Autoservicio"
10-3-663,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Alsina 725",-34.61042800,-58.37656500,"Alsina 725","Autoservicio"
10-3-664,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Nogoyá 3644",-34.60644600,-58.49773300,"Nogoyá 3644","Autoservicio"
10-3-665,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Gaona 2964",-34.61718200,-58.46745400,"Gaona 2964","Autoservicio"
10-3-667,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Directorio 4989",-34.65071900,-58.49075300,"Directorio 4989","Autoservicio"
10-3-668,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juana Manso 199",-34.59990900,-58.36395900,"Juana Manso 199","Autoservicio"
10-3-669,10,3,Express,"INC S.A.",AR-B,"San Martín","Yapeyú 2059",-34.57550300,-58.53585300,"Yapeyú 2059","Autoservicio"
10-3-670,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Hidalgo 92",-34.61777400,-58.43836700,"Hidalgo 92","Autoservicio"
10-3-671,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Sucre 2774",-34.56597800,-58.45841000,"Sucre 2774","Autoservicio"
10-3-672,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Chilavert 6901",-34.68944000,-58.47959300,"Av. Chilavert 6901","Autoservicio"
10-3-673,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Carrasco 421",-34.63221300,-58.49118400,"Carrasco 421","Autoservicio"
10-3-674,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Virrey Del Pino 2527",-34.56707200,-58.45406500,"Virrey del Pino 2527","Autoservicio"
10-3-675,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Cabildo 4861",-34.54003800,-58.47473800,"Cabildo 4861","Autoservicio"
10-3-676,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Chile 701",-34.61616600,-58.37609600,"Chile 701","Autoservicio"
10-3-677,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Álvarez Jonte 3079",-34.60940900,-58.48603800,"Álvarez Jonte 3079","Autoservicio"
10-3-678,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Arregui 6369",-34.62831700,-58.52404900,"Arregui 6369","Autoservicio"
10-3-679,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Raúl Scalabrini Ortiz 1396",-34.59217100,-58.42722200,"Scalabrini Ortiz 1396","Autoservicio"
10-3-680,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Carhué 1427",-34.65394800,-58.51897000,"Carhué 1427","Autoservicio"
10-3-682,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Viamonte 702",-34.59993300,-58.37692400,"Viamonte 702","Autoservicio"
10-3-683,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Crámer 2463",-34.56126400,-58.46424800,"Crámer 2463","Autoservicio"
10-3-684,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","México 1530",-34.61554900,-58.38797800,"México 1530","Autoservicio"
10-3-685,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Pareja 4890",-34.60541500,-58.52370500,"Pareja 4890","Autoservicio"
10-3-686,10,3,Express,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juan Agustín García 3202",-34.61257000,-58.48607300,"Juan Agustín García 3202","Autoservicio"
